question_id,question_text,old_gold,new_gold,top_score,overlap
q0001,"Trong chiến lược phân trang, PTBR (Page-table base register) có chức năng gì?",1e8e6c622bfb571b0b783d8347182318:105|1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:133,1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:90|1e8e6c622bfb571b0b783d8347182318:114,6.345148,1
q0002,Điều gì xảy ra khi giá trị của bit Mp (Memory present) bằng 0 trong quá trình tr,1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:105,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:47|1e8e6c622bfb571b0b783d8347182318:104,1.9670099,1
q0005,Bộ nhớ ảo là gì và nó hoạt động như thế nào?,1e8e6c622bfb571b0b783d8347182318:123|1e8e6c622bfb571b0b783d8347182318:133|1e8e6c622bfb571b0b783d8347182318:42,1e8e6c622bfb571b0b783d8347182318:122|1e8e6c622bfb571b0b783d8347182318:121|1e8e6c622bfb571b0b783d8347182318:123,6.2419915,1
q0010,Việc xác định địa chỉ trong chương trình có thể được thực hiện ở những giai đoạn,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:133,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:32|1e8e6c622bfb571b0b783d8347182318:20,7.195526,1
q0011,Lời gọi hệ thống `Read()` yêu cầu những gì để thực hiện thao tác đọc file?,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:192,2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14|2d1f518956cdc4b3cf6a9447714cfcd0:15,5.5600014,1
q0012,Con trỏ đọc (read pointer) có vai trò gì?,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:16,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,3.8955097,1
q0013,Làm thế nào để thu gọn một file mà vẫn giữ nguyên các thuộc tính của nó?,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:192|2d1f518956cdc4b3cf6a9447714cfcd0:184,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:4|2d1f518956cdc4b3cf6a9447714cfcd0:5,3.716854,1
q0015,Cấu trúc vật lý của một đĩa cứng bao gồm những thành phần chính nào?,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:96|2d1f518956cdc4b3cf6a9447714cfcd0:113,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:90|2d1f518956cdc4b3cf6a9447714cfcd0:84,6.0208607,1
q0017,"Trong việc định vị thông tin trên đĩa mềm, tọa độ 3 chiều được chuyển đổi sang t",2d1f518956cdc4b3cf6a9447714cfcd0:68|2d1f518956cdc4b3cf6a9447714cfcd0:69|2d1f518956cdc4b3cf6a9447714cfcd0:82,2d1f518956cdc4b3cf6a9447714cfcd0:79|2d1f518956cdc4b3cf6a9447714cfcd0:65|2d1f518956cdc4b3cf6a9447714cfcd0:68,7.633978,1
q0018,Thao tác thay đổi vị trí trong file (seek) có yêu cầu hoạt động vào/ra không?,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:9,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,6.3592815,1
q0019,Con trỏ ghi (write pointer) được sử dụng để làm gì?,2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:15,2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:12|2d1f518956cdc4b3cf6a9447714cfcd0:11,4.1137056,1
q0020,"Sau khi nhận lời gọi `Read()`, hệ thống làm gì để tìm thấy dữ liệu của file?",2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:9,2d1f518956cdc4b3cf6a9447714cfcd0:14|2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:13,4.4489145,1
q0024,Hệ thống xử lý theo lô đa chương trình (multiprogrammed batch system) hoạt động ,74040f5628748874779838fa7a292b09:44|74040f5628748874779838fa7a292b09:42|74040f5628748874779838fa7a292b09:47,74040f5628748874779838fa7a292b09:44|74040f5628748874779838fa7a292b09:45|74040f5628748874779838fa7a292b09:43,5.5694575,1
q0025,Đặc điểm của hệ điều hành trên máy tính cá nhân trong giai đoạn đầu (thập niên 1,74040f5628748874779838fa7a292b09:30|74040f5628748874779838fa7a292b09:0|74040f5628748874779838fa7a292b09:97,74040f5628748874779838fa7a292b09:30|74040f5628748874779838fa7a292b09:19|74040f5628748874779838fa7a292b09:12,7.395238,1
q0026,Hệ thống song song kiểu đa xử lý không đối xứng (ASMP) được mô tả như thế nào?,74040f5628748874779838fa7a292b09:42,74040f5628748874779838fa7a292b09:47|74040f5628748874779838fa7a292b09:46|74040f5628748874779838fa7a292b09:42,8.034213,1
q0028,Hệ thống phân tán (distributed system) đối mặt với những vấn đề gì?,74040f5628748874779838fa7a292b09:33|74040f5628748874779838fa7a292b09:0|74040f5628748874779838fa7a292b09:67,74040f5628748874779838fa7a292b09:48|74040f5628748874779838fa7a292b09:33|74040f5628748874779838fa7a292b09:9,3.2581725,1
q0030,"Trong hệ thống đa tiến trình phân chia thời gian, bảng tiến trình (process table",74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:4|74040f5628748874779838fa7a292b09:42,74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:87|74040f5628748874779838fa7a292b09:45,7.7803473,1
q0031,Hệ điều hành sử dụng hai phương pháp nào để biết khi nào một thiết bị vào/ra hoà,a3aa8203ae0398a1ef263322bcadebc3:13|a3aa8203ae0398a1ef263322bcadebc3:15|a3aa8203ae0398a1ef263322bcadebc3:3,a3aa8203ae0398a1ef263322bcadebc3:22|a3aa8203ae0398a1ef263322bcadebc3:13|a3aa8203ae0398a1ef263322bcadebc3:34,4.7398243,1
q0032,Bộ điều khiển thiết bị (Device Controller) là gì?,a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:9|a3aa8203ae0398a1ef263322bcadebc3:15,a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:11|a3aa8203ae0398a1ef263322bcadebc3:8,6.534955,1
q0034,Mục đích chính của việc điều phối truy nhập đĩa là gì?,a3aa8203ae0398a1ef263322bcadebc3:35|a3aa8203ae0398a1ef263322bcadebc3:32|a3aa8203ae0398a1ef263322bcadebc3:12,a3aa8203ae0398a1ef263322bcadebc3:35|a3aa8203ae0398a1ef263322bcadebc3:40|a3aa8203ae0398a1ef263322bcadebc3:42,4.97398,1
q0035,"Khi hệ thống phát hiện lỗi vào ra, nó sẽ cố gắng khắc phục bằng cách nào đầu tiê",a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:24|a3aa8203ae0398a1ef263322bcadebc3:32,a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:34|a3aa8203ae0398a1ef263322bcadebc3:20,7.458723,1
q0038,CPU làm việc với các thanh ghi của bộ điều khiển thiết bị thông qua đâu?,a3aa8203ae0398a1ef263322bcadebc3:8|a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:9,a3aa8203ae0398a1ef263322bcadebc3:10|a3aa8203ae0398a1ef263322bcadebc3:8|a3aa8203ae0398a1ef263322bcadebc3:6,7.0116997,2
q0039,Hệ thống sẽ làm gì khi phát hiện một lỗi vào/ra?,a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:24|a3aa8203ae0398a1ef263322bcadebc3:3,a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:11|a3aa8203ae0398a1ef263322bcadebc3:33,5.6646233,1
q0040,"Theo quan điểm lập trình, một thiết bị vào/ra được xem như là gì?",a3aa8203ae0398a1ef263322bcadebc3:4|a3aa8203ae0398a1ef263322bcadebc3:3|a3aa8203ae0398a1ef263322bcadebc3:16,a3aa8203ae0398a1ef263322bcadebc3:4|a3aa8203ae0398a1ef263322bcadebc3:28|a3aa8203ae0398a1ef263322bcadebc3:11,5.066819,1
q0041,Bốn điều kiện cần thiết để xảy ra bế tắc (deadlock) là gì?,ea73ad6304ed438f7e7d4c59ddd227a1:195|ea73ad6304ed438f7e7d4c59ddd227a1:101|ea73ad6304ed438f7e7d4c59ddd227a1:199,ea73ad6304ed438f7e7d4c59ddd227a1:193|ea73ad6304ed438f7e7d4c59ddd227a1:195|ea73ad6304ed438f7e7d4c59ddd227a1:176,5.2158356,1
q0042,Nhược điểm chính của mô hình luồng ở mức người dùng (User-Level Threads) là gì?,ea73ad6304ed438f7e7d4c59ddd227a1:60|ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:195,ea73ad6304ed438f7e7d4c59ddd227a1:60|ea73ad6304ed438f7e7d4c59ddd227a1:61|ea73ad6304ed438f7e7d4c59ddd227a1:66,6.38462,1
q0043,Kể tên ba phương pháp chính để xử lý bế tắc.,ea73ad6304ed438f7e7d4c59ddd227a1:194|ea73ad6304ed438f7e7d4c59ddd227a1:97|ea73ad6304ed438f7e7d4c59ddd227a1:263,ea73ad6304ed438f7e7d4c59ddd227a1:205|ea73ad6304ed438f7e7d4c59ddd227a1:194|ea73ad6304ed438f7e7d4c59ddd227a1:176,6.114298,1
q0044,Thuật toán Người quản lý nhà băng (Banker's Algorithm) hoạt động dựa trên nguyên,ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:206|ea73ad6304ed438f7e7d4c59ddd227a1:231,ea73ad6304ed438f7e7d4c59ddd227a1:259|ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:57,3.438944,1
q0045,Điều phối CPU không trưng dụng (non-preemptive) xảy ra trong những trường hợp nà,ea73ad6304ed438f7e7d4c59ddd227a1:79|ea73ad6304ed438f7e7d4c59ddd227a1:101|ea73ad6304ed438f7e7d4c59ddd227a1:144,ea73ad6304ed438f7e7d4c59ddd227a1:79|ea73ad6304ed438f7e7d4c59ddd227a1:80|ea73ad6304ed438f7e7d4c59ddd227a1:86,6.6752033,1
q0047,Kỹ thuật SPOOLing giúp phòng ngừa bế tắc cho các tài nguyên như máy in bằng cách,ea73ad6304ed438f7e7d4c59ddd227a1:209|ea73ad6304ed438f7e7d4c59ddd227a1:144|ea73ad6304ed438f7e7d4c59ddd227a1:97,ea73ad6304ed438f7e7d4c59ddd227a1:209|ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:215,6.306074,1
q0048,Tại sao các phép xử lý P(S) và V(S) trên đèn báo (semaphore) phải là các phép to,ea73ad6304ed438f7e7d4c59ddd227a1:142|ea73ad6304ed438f7e7d4c59ddd227a1:144|ea73ad6304ed438f7e7d4c59ddd227a1:101,ea73ad6304ed438f7e7d4c59ddd227a1:142|ea73ad6304ed438f7e7d4c59ddd227a1:224|ea73ad6304ed438f7e7d4c59ddd227a1:140,5.4163017,1
q0049,"Khi sử dụng thuật toán dựa vào đồ thị cung cấp tài nguyên để phòng tránh bế tắc,",ea73ad6304ed438f7e7d4c59ddd227a1:101|ea73ad6304ed438f7e7d4c59ddd227a1:144|ea73ad6304ed438f7e7d4c59ddd227a1:231,ea73ad6304ed438f7e7d4c59ddd227a1:231|ea73ad6304ed438f7e7d4c59ddd227a1:232|ea73ad6304ed438f7e7d4c59ddd227a1:257,5.995819,1
q0050,"Trong phương pháp khóa trong (lock-in), một tiến trình làm gì để vào đoạn găng?",ea73ad6304ed438f7e7d4c59ddd227a1:114|ea73ad6304ed438f7e7d4c59ddd227a1:101|ea73ad6304ed438f7e7d4c59ddd227a1:144,ea73ad6304ed438f7e7d4c59ddd227a1:114|ea73ad6304ed438f7e7d4c59ddd227a1:117|ea73ad6304ed438f7e7d4c59ddd227a1:118,6.6814613,1
